pruning,ordering-heuristic,scenario,method,runtime,epoch
True,min-degree,s7,MAP,0.07772564888000488,27
True,min-degree,s7,MargDist,0.04451870918273926,27
True,min-degree,s8,MAP,0.23529410362243652,27
True,min-degree,s8,MargDist,0.15613889694213867,27
True,min-degree,s1,MAP,0.19054484367370605,28
True,min-degree,s1,MargDist,0.13779997825622559,28
True,min-degree,s2,MAP,0.6251981258392334,28
True,min-degree,s2,MargDist,0.10155415534973145,28
True,min-degree,s3,MAP,0.22159433364868164,28
True,min-degree,s3,MargDist,0.10605788230895996,28
True,min-degree,s4,MAP,0.16663718223571777,28
True,min-degree,s4,MargDist,0.11367392539978027,28
True,min-degree,s5,MAP,0.20592498779296875,28
True,min-degree,s5,MargDist,0.09231972694396973,28
True,min-degree,s6,MAP,0.2111656665802002,28
True,min-degree,s6,MargDist,0.09822583198547363,28
True,min-degree,s7,MAP,1.681955099105835,28
True,min-degree,s7,MargDist,0.10686898231506348,28
True,min-degree,s8,MAP,0.2646822929382324,28
True,min-degree,s8,MargDist,0.10283231735229492,28
True,min-degree,s1,MAP,0.05137181282043457,29
True,min-degree,s1,MargDist,0.031241655349731445,29
True,min-degree,s2,MAP,0.3197922706604004,29
True,min-degree,s2,MargDist,0.10247993469238281,29
True,min-degree,s3,MAP,0.5481860637664795,29
True,min-degree,s3,MargDist,0.0963888168334961,29
True,min-degree,s4,MAP,0.16268539428710938,29
True,min-degree,s4,MargDist,0.11463403701782227,29
True,min-degree,s5,MAP,0.21320462226867676,29
True,min-degree,s5,MargDist,0.03260922431945801,29
True,min-degree,s6,MAP,0.13647198677062988,29
True,min-degree,s6,MargDist,0.10890650749206543,29
True,min-degree,s7,MAP,0.6082763671875,29
True,min-degree,s7,MargDist,0.0870366096496582,29
True,min-degree,s8,MAP,0.2916841506958008,29
True,min-degree,s8,MargDist,0.10720419883728027,29
True,min-degree,s1,MAP,0.03587532043457031,30
True,min-degree,s1,MargDist,0.016635894775390625,30
True,min-degree,s2,MAP,0.07863759994506836,30
True,min-degree,s2,MargDist,0.06338334083557129,30
True,min-degree,s3,MAP,0.20368027687072754,30
True,min-degree,s3,MargDist,0.11503815650939941,30
